name,location,price,price_for,room_type,beds,rating,rating_title
شاليه فيلا درة العروس,Jeddah,2000,"1 night, 2 adults",Two-Bedroom Chalet,"9 beds
(4 singles, 2 doubles, 2 sofa beds, 1 large double)",8.5,Very good
Grand Star Al Saha Hotel,Jeddah,203,"1 night, 2 adults",Standard Twin Room,Beds: 1 double or 2 singles,7.3,Good
Mar Al Diyafah,Jeddah,210,"1 night, 2 adults",Economy Double or Twin Room,1 extra-large double bed,8.4,Very good
OYO 277 Al Tamayoz Al Raqi Furnished Units 3,Jeddah,88,"1 night, 2 adults",Deluxe Studio,"2 beds
(1 double, 1 sofa bed)",6.1,Review score
درة العروس - للعائلات فقط,Jeddah,650,"1 night, 2 adults",Three-Bedroom Chalet,"6 beds
(5 singles, 1 extra-large double)",7.4,Good
Seasons Park Hotel,Jeddah,330,"1 night, 2 adults",Queen Room with Two Queen Beds,2 single beds,8.6,Fabulous
Dar Al Janoub Hotel Apartments,Jeddah,450,"1 night, 2 adults",Economy Double or Twin Room,1 double bed,8.6,Fabulous
Holiday Plus Hotel Suites,Jeddah,404,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 large double)",8.1,Very good
Al Denny Aparthotel,Jeddah,120,"1 night, 2 adults",Double Room,1 large double bed,7,Good
ضيوف جدة للشقق الفندقية,Jeddah,153,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,7.7,Good
Dar Al Maamon Furnished Apartment,Jeddah,275,"1 night, 2 adults",Apartment,"3 beds
(2 singles, 1 extra-large double)",8.1,Very good
Elite Jeddah Hotel,Jeddah,295,"1 night, 2 adults",Budget Double Room,2 single beds,7.8,Good
Burj Al Faris Hotel Apartments,Jeddah,196,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,8.1,Very good
المهيدب للوحدات السكنيه - حي البوادي,Jeddah,204,"1 night, 2 adults",King Studio,1 extra-large double bed,8.5,Very good
دار المسرات للوحدات السكنية المفروشة,Jeddah,250,"1 night, 2 adults",One-Bedroom Apartment,1 double bed,8.2,Very good
برج يزن للشقق المفروشة,Jeddah,144,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 double, 1 sofa bed)",4.9,Review score
Yahalla Hotel Units,Jeddah,127,"1 night, 2 adults",Standard Studio,2 single beds,7,Good
إليت الحمراء - فرع الأندلس,Jeddah,250,"1 night, 2 adults",Twin Room,2 single beds,8.7,Fabulous
Al Hamra Palace ApartHotel Al Sharafeyah,Jeddah,128,"1 night, 2 adults",Standard Studio,1 double bed,6.9,Review score
Tobal Al Hamra Hotel Apartments,Jeddah,189,"1 night, 2 adults",Studio,1 large double bed,7.6,Good
AL manzil ALmutmeez,Jeddah,135,"1 night, 2 adults",Standard Apartment,1 large double bed,7.2,Good
Jory Red Sea Hotel,Jeddah,190,"1 night, 2 adults",Budget Double Room,Multiple bed types,8.1,Very good
Qasr Al Thuraya Hotel Apartments,Jeddah,243,"1 night, 2 adults",Superior Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",6.7,Review score
Ozone hotel,Jeddah,207,"1 night, 2 adults",Superior King Room,1 extra-large double bed,6.9,Review score
"Crowne Plaza Jeddah, an IHG Hotel",Jeddah,435,"1 night, 1 adult",Standard Double Room,1 extra-large double bed,8.3,Very good
"InterContinental Jeddah, an IHG Hotel",Jeddah,702,"1 night, 1 adult",Deluxe Room,1 double bed,7.9,Good
Areen Jeddah Suites Al Madina Road,Jeddah,212,"1 night, 1 adult",Junior Suite,1 large double bed,7.3,Good
إليت الحمراء - فرع الكورنيش,Jeddah,420,"1 night, 1 adult",Suite with Sea View,"2 beds
(1 sofa bed, 1 large double)",8.1,Very good
ذوق الخيال بإدارة وتشغيل الضيافة بالاس,Jeddah,388,"1 night, 1 adult",Superior One-Bedroom Apartment,1 large double bed,8.9,Fabulous
Al Denny Aparthotel,Jeddah,120,"1 night, 2 adults",Double Room,1 large double bed,7,Good
ضيوف جدة للشقق الفندقية,Jeddah,153,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,7.7,Good
Elite Jeddah Hotel,Jeddah,295,"1 night, 2 adults",Budget Double Room,2 single beds,7.8,Good
Burj Al Faris Hotel Apartments,Jeddah,196,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,8.1,Very good
المهيدب للوحدات السكنيه - حي البوادي,Jeddah,204,"1 night, 2 adults",King Studio,1 extra-large double bed,8.5,Very good
AL manzil ALmutmeez,Jeddah,135,"1 night, 2 adults",Standard Apartment,1 large double bed,7.2,Good
Jory Red Sea Hotel,Jeddah,190,"1 night, 2 adults",Budget Double Room,Multiple bed types,8.1,Very good
Qasr Al Thuraya Hotel Apartments,Jeddah,243,"1 night, 2 adults",Superior Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",6.7,Review score
Ozone hotel,Jeddah,207,"1 night, 2 adults",Superior King Room,1 extra-large double bed,6.9,Review score
Delmon Hotel Suites,Jeddah,188,"1 night, 2 adults",One-Bedroom Apartment,"3 beds
(1 double, 2 sofa beds)",6.7,Review score
برج يزن للشقق المفروشة,Jeddah,144,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 double, 1 sofa bed)",4.9,Review score
Yahalla Hotel Units,Jeddah,127,"1 night, 2 adults",Standard Studio,2 single beds,7,Good
M?venpick Hotel City Star Jeddah,Jeddah,440,"1 night, 1 adult",Superior King Room,1 extra-large double bed,8.5,Very good
Carawan Hotel Jeddah - Al Naeem Near Al Danube Market in Madina Road,Jeddah,270,"1 night, 1 adult",Standard Twin Room,2 single beds,8,Very good
Hyatt House Jeddah Sari Street,Jeddah,425,"1 night, 1 adult",Twin Studio,2 single beds,8.4,Very good
Lafontaine Jeddah Hotel,Jeddah,189,"1 night, 1 adult",Deluxe Twin Room,2 single beds,6.8,Review score
Ibis Jeddah Malik Road,Jeddah,289,"1 night, 1 adult",Standard Twin Room,2 single beds,7.9,Good
Centro Salama Jeddah by Rotana,Jeddah,346,"1 night, 1 adult",Queen Room,1 large double bed,7.9,Good
JEDDAH PALACE,Jeddah,150,"1 night, 1 adult",Deluxe King Room,1 extra-large double bed,6.9,Review score
"Holiday Inn Jeddah Al Salam, an IHG Hotel",Jeddah,301,"1 night, 1 adult",Leisure King Room with Pool View - Smoking,1 extra-large double bed,7.4,Good
Glamour Inn جلامور ان,Jeddah,200,"1 night, 1 adult",Budget Double Room,1 single bed,7,Good
Novotel Jeddah Tahlia,Jeddah,396,"1 night, 1 adult",Superior Double Room with Sofa Bed,1 extra-large double bed,8,Very good
"Assila, a Luxury Collection Hotel, Jeddah",Jeddah,950,"1 night, 1 adult","Deluxe Guest Room, 1 King, City View",1 extra-large double bed,8.9,Fabulous
Nights Jeddah Hotel,Jeddah,240,"1 night, 1 adult",Standard King Room,1 large double bed,7.5,Good
Park Inn by Radisson Jeddah Madinah Road,Jeddah,414,"1 night, 1 adult",Standard Room,1 extra-large double bed,8.5,Very good
Rose White Hotel,Jeddah,325,"1 night, 1 adult",Double Room,1 extra-large double bed,8.2,Very good
Adagio Jeddah City Center,Jeddah,349,"1 night, 1 adult",Double Studio,1 double bed,8.4,Very good
فندق قمر جدة Qamar Hotel Jeddah,Jeddah,441,"1 night, 1 adult",Standard Double Room,2 single beds,8.6,Fabulous
Shada Hotel Al Shati,Jeddah,572,"1 night, 1 adult",King Junior Room,1 extra-large double bed,8.8,Fabulous
Wakan Kinan,Jeddah,318,"1 night, 1 adult",Suite,"3 beds
(2 singles, 1 extra-large double)",7.6,Good
"Prime Hotel - Jeddah, Al Hamra",Jeddah,350,"1 night, 1 adult",Junior Suite,1 extra-large double bed,8.3,Very good
